2022-10-26,00:00:00,150.9600,151.9900,148.0400,149.3500,88436172
2022-10-25,00:00:00,150.0900,152.4900,149.3600,152.3400,74732290
2022-10-24,00:00:00,147.1850,150.2300,146.0000,149.4500,75981918
2022-10-21,00:00:00,142.8700,147.8479,142.6490,147.2700,86548609
2022-10-20,00:00:00,143.0200,145.8900,142.6500,143.3900,64521989
2022-10-19,00:00:00,141.6900,144.9492,141.5000,143.8600,61758340
2022-10-18,00:00:00,145.4900,146.7000,140.6100,143.7500,99136610
2022-10-17,00:00:00,141.0650,142.9000,140.2700,142.4100,85250939
2022-10-14,00:00:00,144.3100,144.5200,138.1900,138.3800,88597969
2022-10-13,00:00:00,134.9900,143.5900,134.3700,142.9900,113223975
2022-10-12,00:00:00,139.1300,140.3600,138.1600,138.3400,70433744
2022-10-11,00:00:00,139.9000,141.3500,138.2200,138.9800,77033672
2022-10-10,00:00:00,140.4200,141.8900,138.5729,140.4200,74899002
2022-10-07,00:00:00,142.5400,143.1000,139.4450,140.0900,85925559
2022-10-06,00:00:00,145.8100,147.5400,145.2200,145.4300,68402169
2022-10-05,00:00:00,144.0750,147.3800,143.0100,146.4000,79470968
2022-10-04,00:00:00,145.0300,146.2200,144.2600,146.1000,87830064
2022-10-03,00:00:00,138.2100,143.0700,137.6850,142.4500,114311663
2022-09-30,00:00:00,141.2800,143.1000,138.0000,138.2000,124925274
2022-09-29,00:00:00,146.1000,146.7200,140.6800,142.4800,128138237
2022-09-28,00:00:00,147.6400,150.6414,144.8400,149.8400,146691387
2022-09-27,00:00:00,152.7400,154.7200,149.9450,151.7600,84442741
2022-09-26,00:00:00,149.6600,153.7701,149.6400,150.7700,93339409
2022-09-23,00:00:00,151.1900,151.4700,148.5600,150.4300,96029909
2022-09-22,00:00:00,152.3800,154.4700,150.9100,152.7400,86264792
2022-09-21,00:00:00,157.3400,158.7400,153.6000,153.7200,101696790
2022-09-20,00:00:00,153.4000,158.0800,153.0800,156.9000,107689796
2022-09-19,00:00:00,149.3100,154.5600,149.1000,154.4800,81474246
2022-09-16,00:00:00,151.2100,151.3500,148.3700,150.7000,162278841
2022-09-15,00:00:00,154.6500,155.2400,151.3800,152.3700,90481110
